PATENT_AUTHORITIES,COUNTRY_NAME,OBS_VALUE_sum,OBS_VALUE_mean,OBS_VALUE_std,YEAR_min,YEAR_max,YEAR_count
9P50_2,Italy,7758.81,456.4,427.31,2017,2021,17
9P50_2,JAM,0.0,0.0,0.0,2017,2020,12
9P50_2,JOR,1.35,0.11,0.2,2017,2020,12
9P50_2,Japan,153314.65,9018.51,8510.73,2017,2021,17
9P50_2,KAZ,3.08,0.26,0.56,2017,2020,12
9P50_2,KEN,1.85,0.15,0.33,2017,2020,12
9P50_2,KWT,1.8,0.15,0.32,2017,2020,12
9P50_2,LBN,6.19,0.52,1.15,2017,2020,12
9P50_2,LIE,25.73,2.14,3.5,2017,2020,12
9P50_2,LKA,40.69,2.39,3.76,2017,2021,17
9P50_2,LUX,222.5,13.09,12.07,2017,2021,17
9P50_2,Latvia,38.02,2.24,2.59,2017,2021,17
9P50_2,Lithuania,85.7,5.04,5.24,2017,2021,17
9P50_2,MAR,6.46,0.54,0.95,2017,2020,12
9P50_2,MCO,23.16,1.93,2.87,2017,2020,12
9P50_2,MDA,1.0,0.08,0.29,2017,2020,12
9P50_2,MKD,0.75,0.06,0.22,2017,2020,12
9P50_2,MLT,23.53,1.38,1.41,2017,2021,17
9P50_2,MNG,0.68,0.06,0.2,2017,2020,12
9P50_2,Malaysia,203.56,11.97,11.76,2017,2021,17
9P50_2,Mexico,187.83,11.05,9.92,2017,2021,17
9P50_2,NGA,1.0,0.08,0.29,2017,2020,12
9P50_2,NZL,590.47,34.73,32.88,2017,2021,17
9P50_2,Netherlands,7933.18,466.66,425.72,2017,2021,17
9P50_2,Norway,1125.48,66.2,61.08,2017,2021,17
9P50_2,OECD Total,459344.85,27020.29,24181.58,2017,2021,17
9P50_2,PAK,5.4,0.45,0.94,2017,2020,12
9P50_2,PAN,6.38,0.53,1.05,2017,2020,12
9P50_2,PER,6.71,0.39,0.52,2017,2021,17
9P50_2,PRI,0.0,0.0,0.0,2017,2020,12
9P50_2,PRK,1.5,0.12,0.27,2017,2020,12
9P50_2,Philippines,46.21,2.72,2.97,2017,2021,17
9P50_2,Poland,609.55,35.86,31.97,2017,2021,17
9P50_2,Portugal,348.56,20.5,18.19,2017,2021,17
9P50_2,ROU,168.87,9.93,11.23,2017,2021,17
9P50_2,Russia,1073.42,63.14,58.42,2017,2021,17
9P50_2,SAU,805.79,47.4,57.16,2017,2021,17
9P50_2,SLV,1.0,0.08,0.29,2017,2020,12
9P50_2,SYC,3.03,0.25,0.46,2017,2020,12
9P50_2,Singapore,1663.92,97.88,86.05,2017,2021,17
9P50_2,Slovakia,126.88,7.46,7.16,2017,2021,17
9P50_2,Slovenia,130.66,7.69,6.16,2017,2021,17
9P50_2,South Africa,134.84,7.93,7.26,2017,2021,17
9P50_2,South Korea,29592.56,1740.74,1571.9,2017,2021,17
9P50_2,Spain,2929.97,172.35,148.81,2017,2021,17
9P50_2,Sweden,6914.4,406.73,376.71,2017,2021,17
9P50_2,Switzerland,12134.63,713.8,646.98,2017,2021,17
9P50_2,TTO,1.0,0.08,0.29,2017,2020,12
9P50_2,TUN,0.68,0.06,0.13,2017,2020,12
9P50_2,Taiwan,5729.39,337.02,298.39,2017,2021,17
9P50_2,Thailand,192.3,11.31,10.42,2017,2021,17
9P50_2,Turkey,585.8,34.46,31.91,2017,2021,17
9P50_2,UKR,26.02,2.17,2.92,2017,2020,12
9P50_2,URY,5.73,0.48,0.81,2017,2020,12
9P50_2,UZB,2.14,0.18,0.42,2017,2020,12
9P50_2,United Kingdom,16234.77,954.99,827.62,2017,2021,17
9P50_2,United States,130275.8,7663.28,6392.69,2017,2021,17
9P50_2,VEN,0.92,0.08,0.16,2017,2020,12
9P50_2,World Total,522572.0,30739.53,27536.79,2017,2021,17
9P50_2,YUG_F,0.0,0.0,0.0,2017,2020,12
9P50_2,ZWE,1.0,0.08,0.19,2017,2020,12
9P50_3,AND,9.57,0.6,1.08,2017,2020,16
9P50_3,ARE,257.49,16.09,27.95,2017,2020,16
9P50_3,ARG,295.04,18.44,29.05,2017,2020,16
9P50_3,ARM,18.51,1.16,2.11,2017,2020,16
9P50_3,Australia,6232.96,389.56,610.14,2017,2020,16
9P50_3,Austria,7972.34,498.27,855.3,2017,2020,16
9P50_3,BGR,174.44,10.9,18.07,2017,2020,16
9P50_3,BIH,11.82,0.74,1.39,2017,2020,16
9P50_3,BLR,83.17,5.2,9.46,2017,2020,16
9P50_3,BMU,4.33,0.27,0.53,2017,2020,16
9P50_3,Belgium,6440.79,402.55,629.85,2017,2020,16
9P50_3,Brazil,1926.09,120.38,198.37,2017,2020,16
9P50_3,CHL,331.19,20.7,30.17,2017,2020,16
9P50_3,COL,196.18,12.26,20.48,2017,2020,16
9P50_3,CRI,54.29,3.39,5.92,2017,2020,16
9P50_3,CUB,54.03,3.38,3.47,2017,2020,16
9P50_3,CYM,22.92,1.43,2.53,2017,2020,16
9P50_3,CYP,57.47,3.59,4.79,2017,2020,16
9P50_3,Canada,16895.81,1055.99,1731.59,2017,2020,16
9P50_3,China,154613.66,9663.35,16430.01,2017,2020,16
9P50_3,Czech Republic,1361.35,85.08,143.36,2017,2020,16
9P50_3,DJI,3.23,0.2,0.47,2017,2020,16
9P50_3,DZA,6.98,0.44,0.76,2017,2020,16
9P50_3,Denmark,5712.16,357.01,551.62,2017,2020,16
9P50_3,ECU,9.27,0.58,1.3,2017,2020,16
9P50_3,EGY,79.24,4.95,7.63,2017,2020,16
9P50_3,Estonia,176.5,11.03,17.43,2017,2020,16
9P50_3,European Union (27),220847.61,13802.98,23371.08,2017,2020,16
9P50_3,Finland,5529.6,345.6,588.11,2017,2020,16
9P50_3,France,37545.91,2346.62,3948.69,2017,2020,16
9P50_3,GEO,12.05,0.75,1.31,2017,2020,16
9P50_3,GTM,2.92,0.18,0.31,2017,2020,16
9P50_3,Germany,97881.3,6117.58,10577.96,2017,2020,16
9P50_3,Greece,514.27,32.14,53.97,2017,2020,16
9P50_3,HRV,114.18,7.14,11.85,2017,2020,16
9P50_3,Hong Kong,1164.48,72.78,124.83,2017,2020,16
9P50_3,Hungary,870.85,54.43,94.8,2017,2020,16
9P50_3,IRN,57.25,3.58,5.51,2017,2020,16
9P50_3,ISL,116.03,7.25,12.45,2017,2020,16
9P50_3,India,10480.15,655.01,1111.19,2017,2020,16
9P50_3,Indonesia,61.87,3.87,6.72,2017,2020,16
9P50_3,Ireland,1993.3,124.58,203.75,2017,2020,16
9P50_3,Israel,9225.3,576.58,914.26,2017,2020,16
9P50_3,Italy,18803.49,1175.22,1999.56,2017,2020,16
9P50_3,JAM,3.02,0.19,0.55,2017,2020,16
9P50_3,JOR,22.01,1.38,2.33,2017,2020,16
9P50_3,Japan,264576.86,16536.05,28763.75,2017,2020,16
9P50_3,KAZ,21.8,1.36,2.42,2017,2020,16
9P50_3,KEN,12.8,0.8,1.39,2017,2020,16
9P50_3,KWT,17.63,1.1,2.64,2017,2020,16
9P50_3,LBN,43.82,2.74,4.86,2017,2020,16
9P50_3,LIE,108.64,6.79,12.56,2017,2020,16
9P50_3,LKA,45.01,2.81,4.72,2017,2020,16
9P50_3,LUX,375.47,23.47,39.75,2017,2020,16
9P50_3,Latvia,83.31,5.21,8.9,2017,2020,16
9P50_3,Lithuania,174.65,10.92,16.33,2017,2020,16
9P50_3,MAR,44.15,2.76,4.83,2017,2020,16
9P50_3,MCO,74.12,4.63,8.27,2017,2020,16
9P50_3,MDA,9.7,0.61,1.01,2017,2020,16
9P50_3,MKD,8.17,0.51,1.14,2017,2020,16
9P50_3,MLT,82.01,5.13,9.02,2017,2020,16
9P50_3,MNG,3.19,0.2,0.35,2017,2020,16
9P50_3,Malaysia,736.52,46.03,79.32,2017,2020,16
9P50_3,Mexico,830.72,51.92,90.79,2017,2020,16
9P50_3,NGA,4.37,0.27,0.67,2017,2020,16
9P50_3,NZL,889.37,55.59,89.66,2017,2020,16
9P50_3,Netherlands,12986.29,811.64,1335.89,2017,2020,16
9P50_3,Norway,2397.69,149.86,252.52,2017,2020,16
9P50_3,OECD Total,878727.99,54920.5,91543.71,2017,2020,16
9P50_3,PAK,34.69,2.17,3.22,2017,2020,16
9P50_3,PAN,17.19,1.07,2.39,2017,2020,16
9P50_3,PER,59.67,3.73,6.91,2017,2020,16
9P50_3,PRI,11.21,0.7,1.34,2017,2020,16
9P50_3,PRK,14.52,0.91,1.66,2017,2020,16
9P50_3,Philippines,185.1,11.57,20.19,2017,2020,16
9P50_3,Poland,2270.39,141.9,236.68,2017,2020,16
9P50_3,Portugal,745.99,46.62,73.81,2017,2020,16
9P50_3,ROU,344.63,21.54,37.63,2017,2020,16
9P50_3,Russia,2231.26,139.45,228.54,2017,2020,16
9P50_3,SAU,1461.46,91.34,163.66,2017,2020,16
9P50_3,SLV,1.24,0.08,0.31,2017,2020,16
9P50_3,SYC,6.23,0.39,0.81,2017,2020,16
9P50_3,Singapore,3550.67,221.92,344.7,2017,2020,16
9P50_3,Slovakia,290.68,18.17,30.18,2017,2020,16
9P50_3,Slovenia,522.64,32.66,54.25,2017,2020,16
9P50_3,South Africa,605.21,37.83,61.67,2017,2020,16
9P50_3,South Korea,98231.33,6139.46,10409.68,2017,2020,16
9P50_3,Spain,6125.97,382.87,612.51,2017,2020,16
9P50_3,Sweden,11697.63,731.1,1241.39,2017,2020,16
9P50_3,Switzerland,12708.46,794.28,1279.53,2017,2020,16
9P50_3,TTO,3.5,0.22,0.73,2017,2020,16
9P50_3,TUN,30.85,1.93,3.39,2017,2020,16
9P50_3,Taiwan,44395.22,2774.7,4757.28,2017,2020,16
9P50_3,Thailand,330.05,20.63,35.01,2017,2020,16
9P50_3,Turkey,2358.68,147.42,259.09,2017,2020,16
9P50_3,UKR,262.92,16.43,27.94,2017,2020,16
9P50_3,URY,37.74,2.36,3.74,2017,2020,16
9P50_3,UZB,4.74,0.3,0.68,2017,2020,16
9P50_3,United Kingdom,27075.78,1692.24,2721.91,2017,2020,16
9P50_3,United States,216532.46,13533.28,21244.39,2017,2020,16
9P50_3,VEN,11.85,0.74,1.36,2017,2020,16
9P50_3,World Total,1103696.0,68981.0,115243.95,2017,2020,16
